TOW	Sat1	Sat2	Sat3	Sat4	Sat5	Sat6	Sat7	Sat8	Sat9	Sat10	Sat11	Sat12	Sat13	Sat14	Sat15	Sat16	Sat17	Sat18	Sat19	Sat20	Sat21	Sat22	Sat23	Sat24	Sat25	Sat26	Sat27	Sat28	Sat29	Sat30	Sat31	Sat32
138076	0	0	0	0	-89.1093	0	0	0	0	0	0	0	0	0	0	16.6584	0	0	0	4.88141	17.9528	0	0	0	10.1862	14.2781	-12.6238	0	21.9723	0	15.804	0
138077	0	0	0	0	-99.105	0	0	0	0	0	0	0	0	0	0	17.8078	0	0	0	6.10345	19.1274	0	0	0	11.6688	15.4155	-11.2994	0	23.2286	0	17.0529	0
138078	0	0	0	0	-105.728	0	0	0	0	0	0	0	0	0	0	18.6128	0	0	0	6.91024	19.8542	0	0	0	12.3018	16.3102	-10.4688	0	24.332	0	17.8752	0
138079	0	0	0	0	-112.111	0	0	0	0	0	0	0	0	0	0	19.4562	0	0	0	7.58877	21.1443	0	0	0	12.8956	16.8741	-9.50469	0	24.8367	0	18.8196	0
138080	0	0	0	0	-116.017	0	0	0	0	0	0	0	0	0	0	20.0704	0	0	0	8.17686	21.5087	0	0	0	13.427	17.0315	-8.9365	0	25.3476	0	19.3916	0
138081	0	0	0	0	-119.013	0	0	0	0	0	0	0	0	0	0	20.4953	0	0	0	8.6881	21.7113	0	0	0	14.0141	17.2323	-8.36669	0	25.6776	0	19.5613	0
138082	0	0	0	0	-116.571	0	0	0	0	0	0	0	0	0	0	20.0319	0	0	0	8.4497	21.2363	0	0	0	14.3419	16.8386	-8.83452	0	25.2672	0	19.2403	0
138083	0	0	0	0	-112.092	0	0	0	0	0	0	0	0	0	0	19.2841	0	0	0	7.90861	20.5656	0	0	0	14.107	16.4544	-9.58769	0	24.7902	0	18.5701	0
138084	0	0	0	0	-105.846	0	0	0	0	0	0	0	0	0	0	18.6804	0	0	0	7.30139	19.5431	0	0	0	13.1444	15.8712	-10.3111	0	23.6108	0	18.0055	0
138085	0	0	0	0	-99.463	0	0	0	0	0	0	0	0	0	0	18.1686	0	0	0	6.49719	18.5875	0	0	0	12.3618	14.9843	-11.0485	0	23.0201	0	16.892	0
138086	0	0	0	0	-89.3012	0	0	0	0	0	0	0	0	0	0	18.9662	0	0	0	5.1693	16.7789	0	0	0	11.0134	13.406	-12.5539	0	21.2343	0	15.2869	0
138087	0	0	0	0	-79.2438	0	0	0	0	0	0	0	0	0	0	17.3991	0	0	0	4.16313	15.5211	0	0	0	10.0145	12.1737	-14.0606	0	19.9889	0	14.0441	0
138088	0	0	0	0	-67.0951	0	0	0	0	0	0	0	0	0	0	17.5564	0	0	0	2.74286	13.7117	0	0	0	8.24531	10.2286	-16.0078	0	18.2687	0	12.3493	0
138089	0	0	0	0	-57.0779	0	0	0	0	0	0	0	0	0	0	11.3849	0	0	0	2.21729	12.9912	0	0	0	7.54685	9.62118	-16.3188	0	17.8187	0	11.8166	0
138090	0	0	0	0	-48.0911	0	0	0	0	0	0	0	0	0	0	10.7875	0	0	0	1.17491	11.5465	0	0	0	6.09749	8.25939	-17.3737	0	16.9047	0	10.6943	0
138091	0	0	0	0	-30.5155	0	0	0	0	0	0	0	0	0	0	7.87192	0	0	0	-0.90391	9.54748	0	0	0	4.05815	6.16454	-19.7008	0	14.6928	0	8.78543	0
138092	0	0	0	0	-25.6174	0	0	0	0	0	0	0	0	0	0	7.67839	0	0	0	-1.47431	9.01531	0	0	0	3.48503	5.21836	-20.5285	0	13.8849	0	8.33823	0
138093	0	0	0	0	-22.9304	0	0	0	0	0	0	0	0	0	0	9.49629	0	0	0	-2.26772	8.34947	0	0	0	3.05676	4.85858	-21.3438	0	13.4824	0	7.29838	0
138094	0	0	0	0	-17.1341	0	0	0	0	0	0	0	0	0	0	8.42893	0	0	0	-2.66659	7.66143	0	0	0	2.44855	4.10606	-22.2535	0	12.5936	0	6.81563	0
138095	0	0	0	0	-17.2493	0	0	0	0	0	0	0	0	0	0	8.45591	0	0	0	-2.382	7.59785	0	0	0	2.44663	3.95644	-22.5236	0	12.9991	0	6.69898	0
138096	0	0	0	0	-12.9747	0	0	0	0	0	0	0	0	0	0	7.80316	0	0	0	-2.76922	7.12623	0	0	0	1.69568	3.51687	-22.9772	0	12.6632	0	5.91594	0
138097	0	0	0	0	-13.1312	0	0	0	0	0	0	0	0	0	0	7.82307	0	0	0	-2.88593	7.04057	0	0	0	1.99306	3.51153	-23.1519	0	12.7725	0	6.02828	0
138098	0	0	0	0	-9.96034	0	0	0	0	0	0	0	0	0	0	7.24373	0	0	0	-3.09664	6.41795	0	0	0	1.81382	3.02624	-23.5082	0	12.3605	0	5.70299	0
138099	0	0	0	0	-15.9109	0	0	0	0	0	0	0	0	0	0	8.18729	0	0	0	-2.20402	7.30199	0	0	0	2.04983	3.72945	-22.7964	0	13.0605	0	6.58231	0
138100	0	0	0	0	-15.1527	0	0	0	0	0	0	0	0	0	0	8.25726	0	0	0	-2.07235	7.32236	0	0	0	1.43885	3.80925	-22.9768	0	13.0695	0	6.30461	0
138101	0	0	0	0	-6.86451	0	0	0	0	0	0	0	0	0	0	7.11435	0	0	0	-3.33756	6.30553	0	0	0	0.295951	2.82163	-24.0832	0	11.9783	0	5.76953	0
138102	0	0	0	0	-1.73173	0	0	0	0	0	0	0	0	0	0	7.33538	0	0	0	-3.94632	5.40614	0	0	0	-0.573263	1.98232	-24.8826	0	11.3952	0	5.01487	0
138103	0	0	0	0	2.50447	0	0	0	0	0	0	0	0	0	0	6.96498	0	0	0	-4.63249	5.04201	0	0	0	-0.663714	1.46486	-25.6203	0	10.6388	0	4.30139	0
138104	0	0	0	0	11.6308	0	0	0	0	0	0	0	0	0	0	-1.02733	0	0	0	-4.57397	4.53452	0	0	0	-0.784916	1.53294	-25.5525	0	10.182	0	4.05854	0
138105	0	0	0	0	19.7286	0	0	0	0	0	0	0	0	0	0	0.0291929	0	0	0	-6.01598	3.51433	0	0	0	-2.4056	0.10709	-26.8287	0	8.94005	0	2.931	0
138106	0	0	0	0	22.0855	0	0	0	0	0	0	0	0	0	0	0.204454	0	0	0	-6.16744	3.35029	0	0	0	-3.14479	-0.0565062	-27.0853	0	8.42143	0	2.39232	0
138107	0	0	0	0	26.1188	0	0	0	0	0	0	0	0	0	0	0.563888	0	0	0	-6.62407	3.08363	0	0	0	-3.77807	-0.754246	-27.726	0	7.56263	0	1.5535	0
138108	0	0	0	0	26.6912	0	0	0	0	0	0	0	0	0	0	0.769169	0	0	0	-6.90402	2.96931	0	0	0	-3.64912	-0.928441	-27.7281	0	7.57835	0	1.20171	0
138109	0	0	0	0	24.335	0	0	0	0	0	0	0	0	0	0	0.340428	0	0	0	-7.10325	2.39658	0	0	0	-3.53449	-1.39051	-23.3049	0	7.37796	0	0.883226	0
138110	0	0	0	0	20.7399	0	0	0	0	0	0	0	0	0	0	1.06341	0	0	0	-6.36087	3.29077	0	0	0	-3.15789	-1.01783	-24.1441	0	8.36327	0	1.22333	0
138111	0	0	0	0	13.1664	0	0	0	0	0	0	0	0	0	0	1.65554	0	0	0	-5.8722	4.03774	0	0	0	-2.57169	-0.141921	-21.5469	0	9.37383	0	1.89918	0
138112	0	0	0	0	8.50423	0	0	0	0	0	0	0	0	0	0	2.77703	0	0	0	-5.1428	4.86144	0	0	0	-1.62176	0.640996	-23.0371	0	10.2846	0	2.73334	0
138113	0	0	0	0	0.521796	0	0	0	0	0	0	0	0	0	0	3.30042	0	0	0	-4.01753	5.81229	0	0	0	-0.772464	1.40753	-21.2701	0	11.3902	0	3.62787	0
138114	0	0	0	0	-4.60839	0	0	0	0	0	0	0	0	0	0	4.13699	0	0	0	-3.53078	6.69348	0	0	0	-0.0286752	2.1092	-21.0061	0	12.0053	0	4.22891	0
138115	0	0	0	0	-10.5567	0	0	0	0	0	0	0	0	0	0	4.54805	0	0	0	-2.87693	7.27235	0	0	0	0.57761	3.03688	-18.9352	0	12.1939	0	4.74002	0
