Hour,Minute,Second,Latitude_deg,Latitude_min,Longitude_deg,Longitude_min,Status,SVs_Used,HDOP,Altitude_mamsl,Geoid_Sep,Age_of_DGNSS_Corr,DGNSS_Ref_Station
13,18,37.00,47,02.62866,008,16.80501,2,08,1.10,637.5,47.3,48.4,0199
13,18,38.00,47,02.62866,008,16.80502,2,08,1.10,637.6,47.3,48.2,0199
13,18,39.00,47,02.62867,008,16.80501,2,08,1.10,637.6,47.3,48.6,0199
13,18,40.00,47,02.62867,008,16.80501,2,08,1.10,637.7,47.3,48.4,0199
13,18,41.00,47,02.62867,008,16.80499,2,08,1.10,637.7,47.3,48.2,0199
13,18,42.00,47,02.62868,008,16.80499,2,08,1.10,637.8,47.3,48.6,0199
13,18,43.00,47,02.62868,008,16.80498,2,08,1.10,637.8,47.3,48.4,0199
13,18,44.00,47,02.62868,008,16.80497,2,08,1.10,637.8,47.3,48.2,0199
13,18,45.00,47,02.62868,008,16.80496,2,08,1.10,637.9,47.3,48.6,0199
13,18,46.00,47,02.62868,008,16.80494,2,08,1.10,637.9,47.3,48.4,0199
13,18,47.00,47,02.62868,008,16.80491,2,08,1.10,637.9,47.3,48.2,0199
13,18,48.00,47,02.62867,008,16.80488,2,08,1.10,637.9,47.3,49.2,0199
13,18,49.00,47,02.62867,008,16.80485,2,08,1.10,637.9,47.3,48.4,0199
13,18,50.00,47,02.62867,008,16.80483,2,08,1.10,637.9,47.3,48.2,0199
13,18,51.00,47,02.62866,008,16.80482,2,08,1.10,637.9,47.3,48.6,0199
13,18,52.00,47,02.62866,008,16.80480,2,08,1.10,638.0,47.3,48.4,0199
13,18,53.00,47,02.62866,008,16.80478,2,08,1.10,638.0,47.3,48.2,0199
13,18,54.00,47,02.62866,008,16.80477,2,08,1.10,638.1,47.3,48.6,0199
13,18,55.00,47,02.62866,008,16.80476,2,08,1.10,638.2,47.3,48.4,0199
13,18,56.00,47,02.62867,008,16.80474,2,08,1.10,638.2,47.3,49.4,0199
13,18,57.00,47,02.62868,008,16.80473,2,08,1.10,638.3,47.3,48.6,0199
13,18,58.00,47,02.62869,008,16.80471,2,08,1.10,638.3,47.3,48.4,0199
13,18,59.00,47,02.62869,008,16.80469,2,08,1.10,638.4,47.3,48.2,0199
13,19,00.00,47,02.62870,008,16.80469,2,08,1.10,638.5,47.3,49.2,0199
13,19,01.00,47,02.62870,008,16.80469,2,08,1.10,638.6,47.3,48.4,0199
13,19,02.00,47,02.62871,008,16.80467,2,08,1.10,638.6,47.3,48.2,0199
13,19,03.00,47,02.62871,008,16.80468,2,08,1.10,638.7,47.3,49.2,0199
13,19,04.00,47,02.62872,008,16.80467,2,08,1.10,638.7,47.3,48.4,0199
13,19,05.00,47,02.62873,008,16.80466,2,08,1.10,638.7,47.3,48.2,0199
13,19,06.00,47,02.62874,008,16.80465,2,08,1.10,638.7,47.3,48.6,0199
13,19,07.00,47,02.62875,008,16.80465,2,08,1.10,638.7,47.3,48.4,0199
13,19,08.00,47,02.62876,008,16.80465,2,08,1.10,638.7,47.3,48.2,0199
13,19,09.00,47,02.62878,008,16.80464,2,08,1.10,638.7,47.3,49.2,0199
13,19,10.00,47,02.62880,008,16.80463,2,08,1.10,638.8,47.3,49.6,0199
13,19,11.00,47,02.62882,008,16.80464,2,08,1.10,638.8,47.3,48.2,0199
13,19,12.00,47,02.62884,008,16.80463,2,08,1.10,638.8,47.3,48.6,0199
13,19,13.00,47,02.62885,008,16.80464,2,08,1.10,638.9,47.3,48.4,0199
13,19,14.00,47,02.62887,008,16.80464,2,08,1.10,638.9,47.3,48.2,0199
13,19,15.00,47,02.62888,008,16.80463,2,08,1.10,638.9,47.3,48.6,0199
13,19,16.00,47,02.62890,008,16.80463,2,08,1.10,638.9,47.3,48.4,0199
13,19,17.00,47,02.62891,008,16.80463,2,08,1.10,639.0,47.3,48.2,0199
13,19,18.00,47,02.62893,008,16.80465,2,08,1.10,639.0,47.3,48.6,0199
13,19,19.00,47,02.62894,008,16.80466,2,08,1.10,639.1,47.3,48.4,0199
13,19,20.00,47,02.62896,008,16.80467,2,08,1.10,639.1,47.3,48.2,0199
13,19,21.00,47,02.62897,008,16.80468,2,08,1.10,639.1,47.3,48.6,0199
13,19,22.00,47,02.62898,008,16.80469,2,08,1.10,639.2,47.3,49.6,0199
13,19,23.00,47,02.62899,008,16.80470,2,08,1.10,639.2,47.3,49.4,0199
13,19,24.00,47,02.62900,008,16.80473,2,08,1.10,639.2,47.3,48.6,0199
13,19,25.00,47,02.62901,008,16.80475,2,08,1.10,639.3,47.3,48.4,0199
13,19,26.00,47,02.62902,008,16.80478,2,08,1.10,639.3,47.3,49.4,0199
13,19,27.00,47,02.62903,008,16.80480,2,08,1.10,639.3,47.3,48.6,0199
13,19,28.00,47,02.62904,008,16.80483,2,08,1.10,639.4,47.3,48.4,0199
